run, Re, We, Np, Csg, Cls, Als, D1, D2, D3, D4, X1, Y1, X2, Y2, X3, Y3, X4, Y4, MEAN(Wa), STD(Wa), MEAN(La), STD(La) 
1083, 4067, 447, 4, 6.41554e-12, 0.122421, 0.184006, 0.00167889847, 0.00180079602, 0.00129061243, 0.000664286877, 0.0011673608, 0.0315930834, -0.00271107339, 0.0261928926, -0.00216623997, 0.0318707173, -0.000821628239, 0.029705632, 9.66193835e-07, 5.09402478e-06, 0.00314578884, 4.12840132e-05
1084, 4813, 457, 3, 4.63498e-12, 0.16945, 0.246697, 0.00110992258, 0.00188232651, 0.00106130126, 0, 0.00222153912, 0.0295352092, -0.00170239097, 0.0307694986, -0.000819546003, 0.0262071084, 0, 0, 9.58954767e-07, 1.85147486e-06, 0.00314572745, 5.07190769e-06
1085, 6296, 625, 1, 2.83908e-12, 0.276638, 0.525964, 0.00190127171, 0, 0, 0, 0.00213011264, 0.0310214953, 0, 0, 0, 0, 0, 0, 9.47683516e-07, 3.98818078e-09, 0.00314565786, 4.63446518e-08
1086, 1297, 632, 3, 4.94569e-12, 0.158805, 0.230186, 0.00143698724, 0.00150776115, 0.00139955982, 0, 1.57595487e-05, 0.0295172476, -0.00305475274, 0.0306616593, -0.00238275357, 0.026649858, 0, 0, 1.00124631e-06, 8.79749227e-06, 0.00314603131, 6.85341462e-05
1087, 1483, 176, 3, 3.09154e-12, 0.254048, 0.310001, 0.00160296694, 0.000969484319, 0.000653349898, 0, -0.00202130064, 0.0300664308, -0.00277300199, 0.0317308833, -0.000148570274, 0.0273126251, 0, 0, 1.01044832e-06, 4.14937318e-06, 0.00314605949, 2.32443614e-05
1088, 9682, 811, 2, 5.08116e-12, 0.154571, 0.278692, 0.00192050145, 0.0016676941, 0, 0, -0.00169060192, 0.0290420376, 0.00276309658, 0.0267337853, 0, 0, 0, 0, 9.98983713e-07, 3.33191729e-09, 0.00314598843, 2.87631637e-08
1089, 6476, 716, 1, 2.57339e-12, 0.3052, 0.552449, 0.00181012073, 0, 0, 0, -0.0016536379, 0.0300770146, 0, 0, 0, 0, 0, 0, 9.87770965e-07, 4.00553882e-09, 0.00314591904, 4.33465163e-08
1090, 9839, 825, 3, 4.43613e-12, 0.177046, 0.249205, 0.00165995142, 0.00142637328, 0.000926433922, 0, -0.00298963382, 0.0295731855, 0.00173388497, 0.0308040162, -0.00299386296, 0.0316880167, 0, 0, 9.76812559e-07, 3.19565482e-09, 0.00314585114, 3.61503664e-08
1091, 1955, 788, 2, 1.39805e-12, 0.561783, 0.550784, 0.00116456395, 0.000651028521, 0, 0, -0.000829066734, 0.0300083789, -0.0012808416, 0.0317150024, 0, 0, 0, 0, 9.95231277e-07, 4.96886723e-06, 0.00314595152, 3.22797226e-05
1092, 1783, 350, 2, 3.00832e-12, 0.261075, 0.368197, 0.00162457836, 0.00109135813, 0, 0, -0.00064534898, 0.0281507705, -0.00157386254, 0.0296884078, 0, 0, 0, 0, 1.01752458e-06, 6.27816869e-06, 0.00314603667, 3.30755514e-05
1093, 5149, 810, 1, 2.60684e-12, 0.301284, 0.548893, 0.00182184753, 0, 0, 0, 0.00108024725, 0.0287568999, 0, 0, 0, 0, 0, 0, 1.01747196e-06, 3.34511681e-06, 0.00314601967, 1.80443658e-05
1094, 4610, 393, 2, 9.66223e-13, 0.812854, 0.641755, 0.000869106808, 0.00068911987, 0, 0, 0.000547089455, 0.0275821564, 0.00182364904, 0.0288549192, 0, 0, 0, 0, 1.01354485e-06, 2.35294841e-06, 0.00314599151, 1.52699317e-05
1095, 1777, 999, 2, 5.8463e-13, 1.34341, 0.830342, 0.000700082012, 0.000504241691, 0, 0, -0.00150983126, 0.0266974411, 0.00300408864, 0.0274165332, 0, 0, 0, 0, 1.00284645e-06, 7.51529981e-09, 0.00314594113, 2.30473915e-06
1096, 5298, 384, 4, 4.91633e-12, 0.159753, 0.211039, 0.000763119659, 0.00166258633, 0.000810885004, 0.00150186248, -0.00329473835, 0.0323269125, -0.00245280543, 0.0312894858, 0.00355283168, 0.0292596318, -0.00022201035, 0.0311349392, 1.01558826e-06, 6.00307365e-06, 0.00314603075, 4.38491173e-05
1097, 7774, 845, 1, 4.90464e-13, 1.60134, 1.26544, 0.000790238991, 0, 0, 0, 0.0024367975, 0.0265105453, 0, 0, 0, 0, 0, 0, 1.00513218e-06, 3.56371489e-09, 0.00314596669, 5.79711181e-08
1098, 7412, 227, 3, 3.76167e-12, 0.20879, 0.273086, 0.00129877122, 0.00157563737, 0.000787445465, 0, -0.00028654682, 0.0299406366, -0.00317464253, 0.0275139436, 0.00139469374, 0.028596799, 0, 0, 1.01026027e-06, 5.27012556e-06, 0.00314598012, 2.88097522e-05
1099, 6762, 572, 2, 1.63311e-12, 0.480922, 0.490372, 0.0010239861, 0.00101528006, 0, 0, 0.000100117618, 0.028486646, -0.00313986723, 0.026166438, 0, 0, 0, 0, 1.0076316e-06, 2.80179115e-06, 0.00314598093, 2.72211387e-05
1100, 6217, 754, 2, 2.13824e-12, 0.36731, 0.430893, 0.00128189118, 0.00103887002, 0, 0, -0.00144923089, 0.0268511211, -0.000424695481, 0.0314627399, 0, 0, 0, 0, 1.00893289e-06, 3.20638792e-06, 0.00314606512, 4.66182292e-05
1101, 6491, 672, 2, 1.9372e-12, 0.405429, 0.473683, 0.000710506984, 0.00140060816, 0, 0, -0.000535380304, 0.0261089159, 0.0030864967, 0.0264211782, 0, 0, 0, 0, 1.00119886e-06, 1.23577582e-06, 0.00314601163, 5.61603627e-06
1102, 8856, 890, 2, 2.06293e-12, 0.380719, 0.44086, 0.000969780506, 0.00129851284, 0, 0, -0.00073336296, 0.0286884937, 0.00164191975, 0.032149981, 0, 0, 0, 0, 9.95539208e-07, 1.80125635e-06, 0.0031459744, 1.195294e-05
