run, Re, We, Np, Csg, Cls, Als, D1, D2, D3, D4, X1, Y1, X2, Y2, X3, Y3, X4, Y4, MEAN(Wa), STD(Wa), MEAN(La), STD(La) 
908, 6136, 729, 3, 4.14541e-12, 0.189462, 0.271992, 0.0013539133, 0.00054992391, 0.00177273769, 0, -0.00188200308, 0.028205784, 0.00282304761, 0.0270723487, -0.000741347753, 0.0304126107, 0, 0, 1.12960779e-06, 1.0564152e-06, 0.00313752147, 7.62363563e-06
909, 5091, 265, 1, 2.04009e-12, 0.384982, 0.620469, 0.00161168277, 0, 0, 0, -0.00022711215, 0.0295125674, 0, 0, 0, 0, 0, 0, 1.1301044e-06, 1.51395451e-06, 0.00313751974, 5.40539241e-06
910, 7202, 141, 2, 5.46486e-12, 0.143718, 0.268511, 0.00196949467, 0.00175475363, 0, 0, -0.0019214176, 0.0316095829, -0.000745799022, 0.0276752574, 0, 0, 0, 0, 1.12960216e-06, 9.24250139e-07, 0.00313751459, 3.46509377e-06
911, 4936, 894, 3, 3.66845e-12, 0.214095, 0.30486, 0.00193710815, 0.000762346216, 0.000580739258, 0, 0.00227569976, 0.0304781311, -0.00176709052, 0.0310054257, -2.14779526e-05, 0.0299316668, 0, 0, 1.12965874e-06, 1.14034673e-06, 0.00313751944, 1.14834481e-05
912, 9729, 551, 3, 4.64752e-12, 0.168993, 0.256274, 0.000645569538, 0.00194307732, 0.00131342999, 0, -0.00283473409, 0.0258775518, 0.00215430253, 0.0292415614, -0.000253216258, 0.0312232845, 0, 0, 1.12975692e-06, 1.47430945e-06, 0.00313751906, 8.34457414e-06
913, 2791, 911, 1, 8.64937e-13, 0.908041, 0.952912, 0.00104941517, 0, 0, 0, -0.0015409714, 0.0282664699, 0, 0, 0, 0, 0, 0, 1.12851846e-06, 2.17623814e-09, 0.00313751539, 2.38786216e-06
914, 8656, 871, 3, 4.66018e-12, 0.168534, 0.24236, 0.00174302116, 0.00135872069, 0.00102434412, 0, -0.00050891823, 0.0279001609, 0.00062136727, 0.0295317647, 0.00102812486, 0.0260505164, 0, 0, 1.1285335e-06, 1.49524064e-06, 0.00313751277, 5.76826306e-06
915, 7389, 666, 4, 5.88284e-12, 0.133507, 0.196162, 0.00197249325, 0.000585642804, 0.00139546561, 0.0011442156, -0.00232277626, 0.027157335, -0.00313858009, 0.0256632928, 0.000785777815, 0.0290798976, -0.00306781339, 0.0321117796, 1.12826319e-06, 1.07784504e-06, 0.00313751001, 5.56175589e-06
916, 9885, 608, 2, 3.1032e-12, 0.253093, 0.372192, 0.00175673854, 0.000930048211, 0, 0, -0.00266615171, 0.0302035701, 0.00283954769, 0.0262529205, 0, 0, 0, 0, 1.12703342e-06, 1.15307644e-09, 0.00313750294, 5.76566259e-07
917, 4471, 199, 2, 1.12517e-12, 0.698026, 0.59216, 0.000786485655, 0.000902247742, 0, 0, 0.00233486512, 0.0279352269, -0.00107955672, 0.0309907653, 0, 0, 0, 0, 1.12602859e-06, 1.82958264e-07, 0.00313750088, 4.55424432e-06
